var;val
rmse_min_max/coarse;0.1139
rmse_min_max/clay;0.1246
rmse_min_max/silt;0.1604
rmse_min_max/sand;0.2021
rmse_min_max/pH.in.CaCl;0.1373
rmse_min_max/pH.in.H2O;0.1301
rmse_min_max/OC;0.1197
rmse_min_max/CaCO3;0.1020
rmse_min_max/N;0.0869
rmse_min_max/P;0.0200
rmse_min_max/K;0.0301
rmse_min_max/CEC;0.0898
rmse_min_max/avg;0.1097
rmse_avg/coarse;0.7110
rmse_avg/clay;0.5214
rmse_avg/silt;0.3871
rmse_avg/sand;0.4608
rmse_avg/pH.in.CaCl;0.1588
rmse_avg/pH.in.H2O;0.1360
rmse_avg/OC;0.8301
rmse_avg/CaCO3;1.7163
rmse_avg/N;0.6540
rmse_avg/P;0.9212
rmse_avg/K;1.1627
rmse_avg/CEC;0.6631
rmse_avg/avg;0.6935
r2/coarse;0.1722
r2/clay;0.4082
r2/silt;0.3719
r2/sand;0.4383
r2/pH.in.CaCl;0.5699
r2/pH.in.H2O;0.5733
r2/OC;0.2630
r2/CaCO3;0.4898
r2/N;0.2430
r2/P;0.1740
r2/K;0.2100
r2/CEC;0.2540
r2/avg;0.3473
r2_lin/coarse;0.1746
r2_lin/clay;0.4101
r2_lin/silt;0.3742
r2_lin/sand;0.4409
r2_lin/pH.in.CaCl;0.5729
r2_lin/pH.in.H2O;0.5763
r2_lin/OC;0.2641
r2_lin/CaCO3;0.4914
r2_lin/N;0.2432
r2_lin/P;0.1745
r2_lin/K;0.2148
r2_lin/CEC;0.2556
r2_lin/avg;0.3494
